"GEOID","state","locality","NAME","year","totalpopE","totalpopM","whiteE","whiteM","blackE","blackM","asianE","asianM","indigE","indigM","othraceE","othraceM","multiE","multiM","ltnxE","ltnxM","povrateE","povrateM","cpovrateE","cpovrateM","hhincE","hhincM","allhseE","allhseM","snapE","snapM","hhinc_blackE","hhinc_blackM","hhinc_asianE","hhinc_asianM","hhinc_multiE","hhinc_multiM","hhinc_whiteE","hhinc_whiteM","hhinc_ltnxE","hhinc_ltnxM"
"51003","51","003","Albemarle County, Virginia","2021",111438,NA,76.4,0.1,8.7,0.3,5.5,0.2,0.3,0.1,0.3,0.14142135623731,3,0.4,5.9,NA,6.9,1.1,7.8,2.4,90568,3359,46661,617,1688,379,49926,9473,128162,44447,89583,22223,95178,3517,85822,10438
"51065","51","065","Fluvanna County, Virginia","2021",27078,NA,76.9,0.7,14.4,1.2,0.8,0.3,0.1,0.1,0.7,0.707106781186547,3.4,1.2,3.8,NA,4.6,1.2,4.4,2,82983,5151,11061,89,286,117,64852,15868,NA,NA,68026,12174,84782,6472,NA,NA
"51079","51","079","Greene County, Virginia","2021",20374,NA,80.3,1.3,6.2,1,2.1,0.4,0.2,0.2,1.5,1.30384048104053,3.4,1.1,6.3,NA,10.1,2.4,17.4,5.6,73844,5756,8420,38,810,215,NA,NA,NA,NA,75227,60576,75060,5526,NA,NA
"51109","51","109","Louisa County, Virginia","2021",37136,NA,76.8,1.1,13.7,0.7,0.5,0.2,0.2,0.1,0.1,0.223606797749979,5.3,1.3,3.3,NA,10.8,2,12.6,3.2,70974,4532,17409,38,1158,235,53113,6883,174931,78372,54280,12094,77994,3989,64853,39728
"51125","51","125","Nelson County, Virginia","2021",14795,NA,81,0.7,12.3,1,0.2,0.3,0,0.1,0.4,0.670820393249937,1.5,1,4.5,NA,12.5,3.7,11.1,8,67707,12136,9902,43,888,227,50581,6680,NA,NA,83177,46102,70981,4254,70357,61750
"51540","51","540","Charlottesville city, Virginia","2021",46597,NA,65.4,0.4,17.9,0.6,7,0.5,0.2,0.1,0.5,0.412310562561766,3.3,0.9,5.7,NA,23.1,1.7,25.7,4.8,63470,4255,21285,128,1977,294,38573,5821,34167,18873,52024,30730,78395,4580,51280,14219
